Timestamp,UTM_EASTING,UTM_NORTHING,H:CGVD2013(m),Depth
1654143909.522632,664806.2263271495,5564233.833111408,21.326597895622253,6.8
1654143910.530709,664804.7601898815,5564236.127012393,21.328703545093536,6.8
1654143911.522674,664803.3223083199,5564238.3788943095,21.317306962966917,6.7
1654143912.547841,664801.8119003784,5564240.709830577,21.37378920531273,6.7
1654143913.541127,664800.3585437299,5564242.965330814,21.3832443652153,6.6
1654143914.548761,664798.8954047373,5564245.257679727,21.38085363030434,6.6
1654143915.556508,664797.4352068969,5564247.56648432,21.375837298631666,6.6
1654143916.548258,664796.03070914,5564249.855702749,21.33337387084961,6.7
1654143917.556002,664794.6238913682,5564252.161958197,21.35630199432373,6.7
1654143918.563767,664793.2130966595,5564254.509250818,21.359245961904527,6.6
1654143919.555536,664791.8557321487,5564256.802437248,21.334131072044375,6.5
1654143920.563619,664790.4691071503,5564259.129055326,21.33529447555542,6.5
1654143921.571625,664789.0933574459,5564261.473407627,21.341,6.5
1654143922.563328,664787.7316672471,5564263.789230309,21.32691982460022,6.5
1654143923.571291,664786.3510710109,5564266.127409492,21.375256127119062,6.4
1654143924.579394,664784.9750367693,5564268.480054298,21.389066659927366,6.4
1654143925.587199,664783.6495369788,5564270.8449287675,21.32780560207367,6.4
1654143926.578938,664782.3594499375,5564273.167314604,21.31883406996727,6.4
1654143927.586853,664781.0737337278,5564275.543917669,21.344434616804122,6.3
1654143928.594911,664779.814372299,5564277.908118298,21.33927231168747,6.3
1654143929.586968,664778.5680821855,5564280.257966124,21.312269737482072,6.3
1654143930.595239,664777.307584765,5564282.655400694,21.267367645263672,6.3
1654143931.587165,664776.0986567398,5564284.99430115,21.302331962585452,6.2
1654143932.595244,664774.8722204774,5564287.37275963,21.317446464300154,6.2
1654143933.603068,664773.6490620798,5564289.752453904,21.402346594810485,6.2
1654143934.6111,664772.4630698288,5564292.180720998,21.333,6.2
1654143935.602813,664771.3137305048,5564294.534319438,21.31867408084869,6.2
1654143936.610906,664770.1688459751,5564296.944343998,21.365829964637758,6.2
1654143937.618826,664769.053417887,5564299.362155624,21.398445182561876,6.0
1654143938.610769,664767.995822988,5564301.765884271,21.31162537240982,5.9
1654143939.618656,664766.9289852671,5564304.196191438,21.397827473163606,5.8
1654143940.610595,664765.8851449295,5564306.572443645,21.38151762008667,5.7
1654143941.618519,664764.8037903039,5564309.006367529,21.361883724212646,5.6
1654143942.626405,664763.7734497528,5564311.453381057,21.399456199645996,5.7
1654143943.634426,664762.7550841327,5564313.861093194,21.447599669933318,5.5
1654143944.626244,664761.804739317,5564316.271663541,21.47818385100365,5.5
1654143945.634043,664760.8458730958,5564318.726627881,21.460695312499997,5.3
1654143946.641852,664759.9360562607,5564321.172514173,21.440740740537642,5.3
1654143947.633638,664759.0664582931,5564323.5729659265,21.44005815577507,5.2
1654143948.64148,664758.1682839378,5564326.04014459,21.40689291882515,5.1
1654143949.633255,664757.3387048204,5564328.4559259135,21.45491862511635,5.1
1654143950.641139,664756.4913424049,5564330.909949086,21.42065113902092,5.1
1654143951.648943,664755.6681665805,5564333.369469064,21.413814630508423,5.0
1654143952.656226,664754.8796934875,5564335.802492543,21.44867019271851,5.0
1654143953.647587,664754.1356964647,5564338.217583612,21.43286380577087,5.0
1654143954.654881,664753.3991935457,5564340.6761171175,21.451994642972945,5.0
1654143955.662482,664752.7164115112,5564343.129252624,21.453707374095917,4.9
1654143956.654416,664752.0817750625,5564345.554446591,21.46534908747673,4.9
1654143957.662341,664751.4294795764,5564347.998486332,21.43339153647423,4.9
1654143958.670404,664750.7935307211,5564350.439519938,21.528515556573865,4.9
