Northing,Easting,Lat (DD),Long (DD),Depth (Proc)
6768345.506,465524.861,61.0483915,-069.6383937,26.839
6768347.570,465521.982,61.0484098,-069.6384473,27.581
6768348.208,465520.104,61.0484154,-069.6384822,27.128
6768349.399,465517.683,61.0484258,-069.6385273,27.032
6768350.643,465513.248,61.0484366,-069.6386096,26.657
6768351.125,465512.251,61.0484409,-069.6386282,27.032
6768353.097,465508.340,61.0484582,-069.6387009,26.774
6768353.552,465507.404,61.0484622,-069.6387184,26.910
6768352.911,465507.107,61.0484564,-069.6387237,26.584
6768353.603,465502.840,61.0484623,-069.6388029,26.060
6768354.239,465501.819,61.0484679,-069.6388219,26.246
6768353.601,465500.479,61.0484621,-069.6388466,26.237
6768355.555,465498.419,61.0484794,-069.6388851,26.158
6768357.059,465496.670,61.0484928,-069.6389177,25.047
6768356.655,465493.608,61.0484889,-069.6389744,24.759
6768357.697,465494.073,61.0484983,-069.6389659,24.721
6768357.870,465491.402,61.0484996,-069.6390154,24.500
6768358.715,465489.770,61.0485070,-069.6390458,24.734
6768360.464,465486.488,61.0485224,-069.6391069,24.131
6768360.783,465487.169,61.0485254,-069.6390943,24.497
6768360.135,465484.223,61.0485193,-069.6391488,24.723
6768361.211,465483.838,61.0485289,-069.6391561,24.755
6768362.048,465481.163,61.0485362,-069.6392058,24.978
6768362.762,465481.238,61.0485426,-069.6392045,25.067
6768362.410,465479.387,61.0485393,-069.6392387,24.836
6768361.827,465477.686,61.0485339,-069.6392701,24.387
6768360.868,465477.126,61.0485253,-069.6392803,24.572
6768357.999,465474.208,61.0484992,-069.6393338,26.559
6768358.044,465473.574,61.0484996,-069.6393456,26.349
6768357.969,465473.403,61.0484989,-069.6393487,24.438
6768356.246,465472.687,61.0484834,-069.6393617,24.604
6768352.335,465471.884,61.0484482,-069.6393758,26.030
6768351.337,465472.221,61.0484393,-069.6393694,26.200
6768349.223,465472.934,61.0484203,-069.6393558,26.119
6768347.769,465474.117,61.0484074,-069.6393337,26.022
6768346.384,465475.493,61.0483951,-069.6393079,26.039
6768344.838,465476.923,61.0483813,-069.6392812,26.291
6768342.979,465478.415,61.0483648,-069.6392532,26.142
6768342.858,465480.351,61.0483638,-069.6392173,26.032
6768341.480,465482.958,61.0483517,-069.6391688,24.379
6768339.186,465483.864,61.0483312,-069.6391516,24.395
6768336.824,465485.834,61.0483102,-069.6391147,24.108
6768336.257,465487.722,61.0483052,-069.6390797,24.973
6768335.501,465489.970,61.0482986,-069.6390379,27.594
6768332.422,465493.570,61.0482713,-069.6389707,26.486
6768331.697,465495.181,61.0482650,-069.6389407,26.383
6768330.167,465497.623,61.0482514,-069.6388952,26.171
6768327.979,465501.488,61.0482321,-069.6388233,26.065
6768326.203,465502.916,61.0482163,-069.6387965,26.015
6768325.049,465504.805,61.0482061,-069.6387613,26.044
6768323.554,465506.879,61.0481929,-069.6387227,26.021
6768322.420,465508.712,61.0481829,-069.6386885,25.953
6768320.829,465510.176,61.0481687,-069.6386611,25.822
6768319.416,465512.427,61.0481562,-069.6386192,25.809
6768317.851,465514.448,61.0481423,-069.6385815,25.752
6768316.716,465516.334,61.0481323,-069.6385464,25.790
6768315.320,465518.755,61.0481200,-069.6385013,25.824
6768314.219,465520.394,61.0481103,-069.6384707,25.844
6768312.557,465521.956,61.0480955,-069.6384415,25.565
6768311.665,465523.761,61.0480876,-069.6384079,25.537
6768310.007,465526.297,61.0480730,-069.6383607,25.467
6768308.792,465527.783,61.0480622,-069.6383329,25.424
6768307.285,465529.832,61.0480488,-069.6382947,25.611
6768306.011,465531.568,61.0480375,-069.6382623,25.539
6768304.704,465533.403,61.0480260,-069.6382281,25.708
6768303.579,465535.552,61.0480161,-069.6381881,25.865
6768301.632,465536.879,61.0479987,-069.6381632,26.124
6768300.192,465538.592,61.0479859,-069.6381312,25.645
6768299.151,465540.621,61.0479768,-069.6380935,25.583
6768297.907,465541.952,61.0479657,-069.6380686,24.210
6768297.138,465543.494,61.0479589,-069.6380399,22.785
6768295.628,465545.237,61.0479455,-069.6380074,24.940
6768293.919,465547.718,61.0479304,-069.6379611,24.717
6768293.235,465549.735,61.0479244,-069.6379237,24.499
6768291.154,465551.079,61.0479059,-069.6378984,24.621
6768290.117,465552.780,61.0478967,-069.6378667,24.393
6768287.546,465556.571,61.0478740,-069.6377961,24.417
6768286.127,465558.708,61.0478614,-069.6377562,24.143
6768282.996,465561.775,61.0478336,-069.6376989,23.951
6768281.989,465563.628,61.0478247,-069.6376644,23.759
6768280.879,465565.507,61.0478149,-069.6376294,24.045
6768279.045,465567.733,61.0477986,-069.6375878,24.030
6768277.108,465569.376,61.0477814,-069.6375571,24.079
6768275.624,465570.967,61.0477682,-069.6375273,23.868
6768274.364,465573.261,61.0477571,-069.6374847,23.909
6768273.617,465575.237,61.0477506,-069.6374479,24.256
6768272.629,465577.062,61.0477418,-069.6374140,23.896
6768271.413,465578.752,61.0477311,-069.6373824,23.783
6768269.404,465580.493,61.0477132,-069.6373498,23.819
6768267.904,465582.462,61.0476999,-069.6373131,23.801
6768265.471,465586.564,61.0476784,-069.6372367,23.388
6768264.002,465588.010,61.0476654,-069.6372097,23.366
6768262.746,465589.870,61.0476542,-069.6371750,23.368
6768235.181,465629.177,61.0474102,-069.6364423,21.849
6768234.285,465630.718,61.0474023,-069.6364136,21.508
6768233.467,465632.177,61.0473951,-069.6363864,21.528
6768232.611,465633.617,61.0473875,-069.6363596,21.123
6768231.997,465635.062,61.0473821,-069.6363327,21.408
6768230.894,465636.215,61.0473723,-069.6363112,21.505
6768230.304,465637.806,61.0473672,-069.6362816,21.686
6768229.756,465639.088,61.0473624,-069.6362578,21.314
6768228.832,465640.171,61.0473542,-069.6362376,21.298
6768227.797,465641.597,61.0473450,-069.6362110,21.601
6768227.225,465642.743,61.0473400,-069.6361897,21.254
6768226.788,465643.636,61.0473361,-069.6361730,21.198
6768225.646,465644.915,61.0473260,-069.6361492,21.231
6768224.144,465645.832,61.0473126,-069.6361319,21.081
6768222.640,465646.885,61.0472992,-069.6361121,21.251
6768220.925,465647.388,61.0472838,-069.6361025,21.170
6768219.277,465647.493,61.0472690,-069.6361003,21.148
6768216.916,465647.455,61.0472478,-069.6361006,21.012
6768215.959,465646.115,61.0472391,-069.6361252,21.100
6768214.090,465645.338,61.0472223,-069.6361392,21.016
6768212.272,465644.640,61.0472059,-069.6361518,21.288
6768211.359,465642.691,61.0471975,-069.6361878,21.439
6768210.853,465640.869,61.0471928,-069.6362214,22.199
6768210.082,465639.398,61.0471858,-069.6362485,21.907
6768209.868,465637.199,61.0471837,-069.6362892,21.407
6768209.352,465635.118,61.0471789,-069.6363276,27.724
6768210.316,465633.697,61.0471874,-069.6363541,27.715
6768211.269,465631.602,61.0471958,-069.6363931,27.619
6768212.398,465629.036,61.0472057,-069.6364408,27.655
6768211.875,465629.012,61.0472010,-069.6364411,27.245
6768212.405,465626.362,61.0472055,-069.6364903,27.324
6768213.080,465623.200,61.0472113,-069.6365490,26.849
6768213.807,465619.952,61.0472175,-069.6366092,27.359
6768214.367,465617.528,61.0472223,-069.6366542,27.399
6768214.146,465615.935,61.0472202,-069.6366837,27.215
6768214.453,465613.920,61.0472228,-069.6367210,27.066
6768214.887,465611.297,61.0472265,-069.6367697,29.884
6768216.658,465609.031,61.0472422,-069.6368120,29.311
6768217.552,465605.648,61.0472499,-069.6368747,29.685
6768217.598,465603.541,61.0472501,-069.6369138,29.281
6768218.270,465602.093,61.0472560,-069.6369407,29.314
6768219.340,465599.659,61.0472654,-069.6369860,29.019
6768220.143,465597.807,61.0472725,-069.6370204,28.947
6768220.002,465597.221,61.0472712,-069.6370312,29.033
6768221.434,465594.335,61.0472838,-069.6370849,29.074
6768221.983,465592.428,61.0472885,-069.6371203,28.657
6768222.418,465590.353,61.0472922,-069.6371588,28.621
6768223.620,465588.802,61.0473029,-069.6371878,28.672
6768224.471,465587.210,61.0473104,-069.6372174,28.779
6768226.171,465585.070,61.0473255,-069.6372573,28.999
6768226.827,465583.876,61.0473313,-069.6372795,29.185
6768226.812,465580.784,61.0473309,-069.6373368,28.965
6768228.890,465579.143,61.0473494,-069.6373675,28.932
6768228.815,465577.607,61.0473486,-069.6373960,29.365
6768229.726,465575.815,61.0473566,-069.6374293,28.819
6768229.132,465575.215,61.0473512,-069.6374403,28.962
6768229.743,465573.408,61.0473565,-069.6374739,28.878
6768231.152,465570.992,61.0473690,-069.6375189,28.781
6768231.080,465569.160,61.0473682,-069.6375528,28.670
6768232.684,465567.034,61.0473824,-069.6375924,28.506
6768232.868,465563.196,61.0473837,-069.6376635,30.212
6768232.903,465562.258,61.0473839,-069.6376809,30.335
6768234.086,465559.411,61.0473943,-069.6377338,30.556
6768235.237,465557.206,61.0474044,-069.6377749,30.649
6768235.025,465555.372,61.0474024,-069.6378088,30.596
6768237.947,465554.135,61.0474285,-069.6378322,30.677
6768239.992,465553.270,61.0474468,-069.6378486,30.855
6768239.858,465552.606,61.0474455,-069.6378609,30.955
6768242.201,465549.875,61.0474663,-069.6379119,30.532
6768241.979,465547.803,61.0474641,-069.6379502,30.847
6768244.899,465545.507,61.0474901,-069.6379932,29.766
6768245.572,465545.158,61.0474962,-069.6379998,30.349
6768246.158,465545.266,61.0475014,-069.6379979,30.223
6768247.596,465540.536,61.0475139,-069.6380858,29.663
6768249.505,465539.803,61.0475310,-069.6380997,29.937
6768249.084,465539.087,61.0475272,-069.6381129,29.710
6768250.080,465536.426,61.0475359,-069.6381623,30.220
6768252.724,465534.360,61.0475594,-069.6382010,30.251
6768253.421,465530.947,61.0475654,-069.6382643,29.984
6768254.086,465529.481,61.0475712,-069.6382916,30.153
6768256.221,465529.081,61.0475904,-069.6382994,30.588
6768257.118,465526.815,61.0475982,-069.6383415,30.720
6768257.713,465525.326,61.0476034,-069.6383692,30.227
6768258.338,465523.439,61.0476089,-069.6384043,30.129
6768260.349,465521.363,61.0476267,-069.6384430,29.608
6768263.806,465517.733,61.0476574,-069.6385109,28.901
6768264.269,465516.070,61.0476615,-069.6385418,28.703
6768265.982,465513.849,61.0476766,-069.6385832,27.870
